AI&DS Y23 Course Structure,,,,,,,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::ODD SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,43,PCC,23AD3207R,NATURAL LANGUAGE PROCESSING,4,,,,,,,
,44,,23GDU3202R,UX DESIGN,3,,,,,,,
,45,PEC,23GDU3303R,AR AND VR APPLICATION DEVELOPMENT ,5,,,,,,,
,46,SDC,23SDCS06R,CERTIFIED GAME DEVELOPER,2,,,,,,,
,47,PEC,23ACI3202A,EXPLAINABLE AI AND COMMUNICATIONS,5,,,,,,,
,48,PEC,23ALT3303A,CONVERSATIONAL AI AND CHATBOT DEVELOPMENT,7,,,,,,,
,49,BSC,23CY1001,ENGINEERING CHEMISTRY,4,,,,,,,
,50,SDC,23SDAD06R,ANALYSIS OF DIGITAL MARKETING,2,,,,,,,
,51,PEC,23SDM3202A,OPINION MINING AND RECOMMENDER SYSTEMS,5,,,,,,,
,52,PEC,23SDM3304A,SOCIAL MEDIA MARKETING ANALYTICS,7,,,,,,,
,53,PEC,23ALT3202A,DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,5,,,,,,,
,54,SDC,23SDCS18A,TEXT ANALYTICS,4,,,,,,,
,55,,CRTCODL2V3,CAMPUS RECRUITMENT: CODING SKILLS TRAINING - DATA STRUCTURES ,,,,,,,,
,56,,CRTVQRL2V3,CAMPUS RECRUITMENT: QUANTITATIVE APTITUDE TRAINING,,,,,,,,
,57,,23DEA3202A,DATA EXPLORATION AND PREPARATION,,,,,,,,
,58,PEC,23DEA3303A,BIG DATA TECHNOLOGIES,7,,,,,,,
,59,SDC,23SDAD11A,AI-DRIVEN DATA ENGINEERING,4,,,,,,,
,60,,21CC3140,SALESFORCE CERTIFIED AI ASSOCIATE,,,,,,,,
,61,,22PH1005,ENGINEERING PHYSICS,,,,,,,,
,62,PEC,23ACI3303A,FUZZY LOGIC WITH SET THEORY,7,,,,,,,
,63,SDC,23SDCS17A,GENERATIVE ADVERSARIAL NETWORKS FOR IMAGES,4,,,,,,,
,64,,OEEC0011,IMAGE PROCESSING,,,,,,,,
,65,PEC,23GDU3202A,UX DESIGN,5,,,,,,,
,66,PEC,23GDU3303A,AR AND VR APPLICATION DEVELOPMENT ,7,,,,,,,
